+ Processor: 1 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                137612061      87.1139        1336119542     24.4125   
+ Load-Misses:             20355831       12.8861        4136983327     75.5875   
+ Load-Total Accesses:     157967892      100            5473102869     100       

+ Store-Hits               129063498      95.9398        1290634792     53.4122   
+ Store-Misses:            5461972        4.06018        1125732793     46.5878   
+ Store-Total Accesses:    134525470      100            2416367585     100       

+ Total-Hits:              266675559      91.1732        2626754334     33.2944   
+ Total-Misses:            25817803       8.8268         5262716120     66.7056   

+ Estimated Cost:          292493362      100            7889470454     100       


+ Processor: 2 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                143414296      84.5875        1372797748     20.8565   
+ Load-Misses:             26131153       15.4125        5209315563     79.1435   
+ Load-Total Accesses:     169545449      100            6582113311     100       

+ Store-Hits               130227768      95.6781        1302277588     51.766    
+ Store-Misses:            5882492        4.32186        1213421238     48.234    
+ Store-Total Accesses:    136110260      100            2515698826     100       

+ Total-Hits:              273642064      89.5262        2675075336     29.4035   
+ Total-Misses:            32013645       10.4738        6422736801     70.5965   

+ Estimated Cost:          305655709      100            9097812137     100       


+ Processor: 3 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                143797659      84.5908        1091775818     17.3748   
+ Load-Misses:             26194450       15.4092        5191890841     82.6252   
+ Load-Total Accesses:     169992109      100            6283666659     100       

+ Store-Hits               131069854      95.8333        1034018576     47.0203   
+ Store-Misses:            5698714        4.16668        1165070352     52.9797   
+ Store-Total Accesses:    136768568      100            2199088928     100       

+ Total-Hits:              274867513      89.6032        2125794394     25.0602   
+ Total-Misses:            31893164       10.3968        6356961193     74.9398   

+ Estimated Cost:          306760677      100            8482755587     100       


Memory Stats:
Addr 	 Loads 	 Stores 	 LHIS 	 LMISS 	 SHIT 	 SMISS
0x00007f3586087e20	0	1	0	0	1	0	1
0x00007f3586087e28	0	1	0	0	1	0	1
0x00007f3586087e30	0	2	0	0	2	0	2
0x00007f3586087e38	0	2	0	0	2	0	2
0x00007f3586087e40	0	2	0	0	2	0	2
0x00007f3586087e48	0	2	0	0	2	0	2
0x00007f3585db7e02	1	0	1	0	0	0	1
0x00007f3585db7e03	1	0	1	0	0	0	1
0x00007f3585db7e04	1	0	1	0	0	0	1
0x00007f3585db7e05	1	0	1	0	0	0	1
0x00007f3586087e50	0	2	0	0	2	0	2
0x00007f3585db7e06	1	0	1	0	0	0	1
0x00007f3585db7e07	1	0	1	0	0	0	1
0x00007f3585db7e08	1	0	1	0	0	0	1
0x00007f3585db7e09	1	0	1	0	0	0	1
0x00007f3585db7e0a	1	0	1	0	0	0	1
0x00007f3585db7e0b	1	0	1	0	0	0	1
0x00007f3585db7e0c	1	0	1	0	0	0	1
0x00007f3585db7e0d	1	0	1	0	0	0	1
0x00007f3586087e58	0	2	0	0	2	0	2
0x00007f3585db7e0e	1	0	1	0	0	0	1
0x00007f3585db7e0f	1	0	1	0	0	0	1
0x00007f3585db7e10	1	0	1	0	0	0	1
0x00007f3585db7e11	1	0	1	0	0	0	1
0x00007f3585db7e12	1	0	1	0	0	0	1
0x00007f3585db7e13	1	0	1	0	0	0	1
0x00007f3585db7e14	1	0	1	0	0	0	1
0x00007f3585db7e15	1	0	1	0	0	0	1
0x00007f3586087e60	0	2	0	0	2	0	2
0x00007f3585db7e16	1	0	1	0	0	0	1
0x00007f3585db7e17	1	0	1	0	0	0	1
0x00007f3585db7e18	1	0	1	0	0	0	1
0x00007f3585db7e19	1	0	1	0	0	0	1
0x00007f3585db7e1a	1	0	1	0	0	0	1
0x00007f3585db7e1b	1	0	1	0	0	0	1
0x00007f3585db7e1c	1	0	1	0	0	0	1
0x00007f3585db7e1d	1	0	1	0	0	0	1
0x00007f3586087e68	0	2	0	0	2	0	2
0x00007f3585db7e1e	1	0	1	0	0	0	1
0x00007f3585db7e1f	1	0	1	0	0	0	1
0x00007f3585db7e20	1	0	1	0	0	0	1
0x00007f3585db7e21	1	0	1	0	0	0	1
0x00007f3585db7e22	1	0	1	0	0	0	1
0x00007f3585db7e23	1	0	1	0	0	0	1
0x00007f3585db7e24	1	0	1	0	0	0	1
0x00007f3585db7e25	1	0	1	0	0	0	1
0x00007f3586087e70	0	2	0	0	2	0	2
0x00007f3585db7e26	1	0	1	0	0	0	1
0x00007f3585db7e27	1	0	1	0	0	0	1
