+ Processor: 1 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                15984446       99.9998        139102052      99.9976   
+ Load-Misses:             31             0.000193938    3293           0.00236727
+ Load-Total Accesses:     15984477       100            139105345      100       

+ Store-Hits               13658502       100            115842924      100       
+ Store-Misses:            0              0              0              0         
+ Store-Total Accesses:    13658502       100            115842924      100       

+ Total-Hits:              29642948       99.9999        254944976      99.9987   
+ Total-Misses:            31             0.000104578    3293           0.00129163

+ Estimated Cost:          29642979       100            254948269      100       


+ Processor: 2 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                16836991       100            148209846      99.9999   
+ Load-Misses:             1              5.9393e-06     107            7.21949e-05
+ Load-Total Accesses:     16836992       100            148209953      100       

+ Store-Hits               13486810       100            110707896      100       
+ Store-Misses:            0              0              0              0         
+ Store-Total Accesses:    13486810       100            110707896      100       

+ Total-Hits:              30323801       100            258917742      100       
+ Total-Misses:            1              3.29774e-06    107            4.13258e-05

+ Estimated Cost:          30323802       100            258917849      100       


+ Processor: 3 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                16808918       99.9998        104855416      99.9968   
+ Load-Misses:             32             0.000190375    3396           0.00323864
+ Load-Total Accesses:     16808950       100            104858812      100       

+ Store-Hits               13463063       100            80778514       100       
+ Store-Misses:            0              0              0              0         
+ Store-Total Accesses:    13463063       100            80778514       100       

+ Total-Hits:              30271981       99.9999        185633930      99.9982   
+ Total-Misses:            32             0.000105708    3396           0.00182937

+ Estimated Cost:          30272013       100            185637326      100       


Memory Stats:
Addr 	 Loads 	 Stores 	 LHIS 	 LMISS 	 SHIT 	 SMISS
0x00007f43ec217d7c	1	0	1	0	0	0	1
0x00007f43ec217d7d	1	0	1	0	0	0	1
0x00007f43ec217d7e	1	0	1	0	0	0	1
0x00007f43ec217d7f	1	0	1	0	0	0	1
0x00007f43ec217d80	1	0	1	0	0	0	1
0x00007f43ec217d81	1	0	1	0	0	0	1
0x00007f43ec217d82	1	0	1	0	0	0	1
0x00007f43ec217d83	1	0	1	0	0	0	1
0x00007f43ec217d84	1	0	1	0	0	0	1
0x00007f43ec217d85	1	0	1	0	0	0	1
0x00007f43ec217de5	1	0	1	0	0	0	1
0x00007f43ec217de6	1	0	1	0	0	0	1
0x00007f43ec217de7	1	0	1	0	0	0	1
0x00007f43ec217de8	1	0	1	0	0	0	1
0x00007f43ec217de9	1	0	1	0	0	0	1
0x00007f43ec217dea	1	0	1	0	0	0	1
0x00007f43ec217deb	1	0	1	0	0	0	1
0x00007f43ec217dec	1	0	1	0	0	0	1
0x00007f43ec217ded	1	0	1	0	0	0	1
0x00007f43ec217dee	1	0	1	0	0	0	1
0x00007f43ec217def	1	0	1	0	0	0	1
0x00007f43ec217df0	1	0	1	0	0	0	1
0x00007f43ec217df1	1	0	1	0	0	0	1
0x00007f43ec217df2	1	0	1	0	0	0	1
0x00007f43ec217df3	1	0	1	0	0	0	1
0x00007f43ec217df4	1	0	1	0	0	0	1
0x00007f43ec217df5	1	0	1	0	0	0	1
0x00007f43ec217df6	1	0	1	0	0	0	1
0x00007f43ec217df7	1	0	1	0	0	0	1
0x00007f43ec217df8	1	0	1	0	0	0	1
0x00007f43ec217df9	1	0	1	0	0	0	1
